"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14652.7","","","","1"
"2000-02","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14672.2","","","","1"
"2000-03","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14697.5","","","","1"
"2000-04","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14722.7","","","","1"
"2000-05","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14736.4","","","","1"
"2000-06","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14746.8","","","","1"
"2000-07","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14750.4","","","","1"
"2000-08","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14770.3","","","","1"
"2000-09","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14812.2","","","","1"
"2000-10","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14835.3","","","","1"
"2000-11","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14871.4","","","","1"
"2000-12","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14920.0","","","","1"
"2001-01","Canada","2021A000011124","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057603","1.1.1.1","14894.4","","","","1"
